Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
64	1986.92	576.755	2574.77	1079.26	1640.68	736.521	2553.98	755.411	1000.0	773.0	324999	100.642	44.8092	192.435	-59.3247	100.642	44.8092	188.019	-52.1547	0.0130436	0.000160388	0.0133841	0.0127127	0.028889	8.00664	3.24364	46.5416	-9.97591	-100.934	5.93049	5.98146	9239.551065683365
65	2049.81	723.053	2619.51	651.196	1379.96	634.451	2484.03	528.141	867.2	664.6	329999	102.429	46.3902	195.064	-85.3968	102.429	46.3898	191.655	-94.8219	0.0130828	0.000164325	0.0134157	0.0127348	0.00442049	8.001	3.269	46.2461	-10.2862	-102.736	6.05532	6.13659	9362.313358068466
66	1610.25	965.173	2813.23	55.6322	1142.2	814.791	2215.85	211.178	839.0	511.4	334999	103.994	47.7407	197.106	-79.7318	103.994	47.7407	193.741	-80.4083	0.013263	0.00020587	0.0137824	0.012811	-0.00946584	7.99778	3.29347	49.2251	-12.0284	-104.294	6.24131	6.38213	9503.089064836502
67	1206.52	599.147	2309.88	568.877	2398.11	209.066	2678.26	2050.62	1000.0	966.0	339999	105.292	48.9958	200.572	-111.951	105.292	48.9945	199.622	-90.8784	0.013331	0.000134667	0.0136654	0.0130795	0.00877347	8.00201	3.32164	53.5115	-9.48041	-105.597	6.28747	6.41247	9645.31851029396
68	1624.76	923.391	2587.55	414.427	1494.34	781.776	2835.13	594.637	778.429	846.6	344999	107.095	50.4791	203.059	-91.0941	107.095	50.4787	200.816	-105.688	0.0134736	0.000184488	0.0138574	0.0130372	0.00201265	8.00045	3.34718	54.5801	-11.4997	-107.407	6.67543	6.70148	9798.464347839355
69	1985.53	736.772	2722.69	852.566	1960.07	658.052	2755.25	1026.34	884.0	975.0	349999	108.748	51.9475	207.611	-84.5685	108.748	51.9471	205.567	-69.474	0.0134559	0.000158994	0.0138255	0.0131359	-0.000196304	7.99993	3.41917	59.4119	-11.2272	-109.053	6.81207	6.88937	9948.31506896019
70	2267.44	497.543	2609.57	1288.07	1231.34	558.238	2069.01	345.688	972.2	737.8	354999	110.747	53.438	210.757	-61.3191	110.747	53.4377	209.756	-78.8678	0.0138855	0.000148928	0.0142095	0.0134216	0.0310456	8.00722	3.40827	58.3421	-11.7734	-111.052	7.0344	7.16428	10085.200451612473
71	1423.05	757.511	2451.34	549.765	1491.02	382.297	2076.72	1092.26	775.333	777.2	359999	112.105	54.7604	213.449	-71.7427	112.105	54.7603	211.574	-68.8706	0.0139511	0.000155946	0.0143259	0.0135806	0.00133743	8.0003	3.45233	55.1177	-11.9117	-112.413	7.16423	7.18562	10216.854048013687
72	1257.07	578.935	2290.97	559.599	1602.85	830.548	2716.11	248.194	925.167	776.6	364999	113.404	56.2484	218.403	-85.4198	113.404	56.2484	216.698	-101.455	0.0141963	0.00016717	0.0145166	0.0138049	-0.00617451	7.99853	3.44411	51.8868	-12.3139	-113.712	7.22893	7.319	10372.488087654114
73	1384.4	811.983	2623.61	161.933	2186.0	781.179	2827.43	777.103	622.571	811.0	369999	114.603	57.5375	220.078	-119.621	114.603	57.537	224.535	-92.969	0.0141869	0.000143589	0.0144841	0.0139023	0.0122187	8.00284	3.47552	55.2861	-13.0121	-114.917	7.66327	7.78887	10496.328860998154
