Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
57	7398.11	102.32	7514.75	7271.62	7784.65	78.1075	7877.3	7656.63	1000.0	1000.0	289999	503.529	125.641	623.164	-89.0376	503.529	125.642	623.597	-84.7958	503.403	124.86	620.682	-90.6518	4.5195	3.63053	43.4979	-18.2971	-504.377	8.0649	7.66227	7.26931	11165.771742343903
58	7425.16	88.4244	7521.06	7314.67	7784.31	78.6006	7896.8	7679.51	1000.0	1000.0	294999	507.649	125.568	626.338	-93.4813	507.65	125.569	627.27	-88.8231	507.524	124.796	625.374	-93.8191	4.55762	3.63612	36.3257	-15.7237	-508.488	7.90339	7.65322	7.23088	11358.426606416702
59	7474.5	143.778	7646.11	7213.22	7965.66	101.507	8139.9	7862.97	1000.0	1000.0	299999	511.197	126.234	630.195	-92.3393	511.197	126.235	631.662	-90.364	511.071	125.456	628.504	-97.3751	4.58365	3.62279	40.9725	-13.0428	-512.041	8.11621	7.74524	7.33826	11550.024065256119
60	7439.79	146.012	7640.23	7259.16	7904.13	82.3525	8059.14	7840.13	1000.0	1000.0	304999	515.477	125.742	635.368	-89.0613	515.477	125.743	634.994	-85.7932	515.353	124.961	633.308	-91.9245	4.60091	3.62837	35.0308	-14.5976	-516.325	8.04971	7.80427	7.33284	11741.422050476074
61	7277.96	252.596	7563.57	6878.02	7807.1	105.825	7966.65	7685.27	1000.0	1000.0	309999	519.769	125.177	640.676	-91.9987	519.769	125.178	639.295	-90.0408	519.644	124.386	636.525	-95.2609	4.65405	3.6341	45.7307	-13.5648	-520.61	8.47123	8.05024	7.67908	11933.316108465195
62	7663.96	227.793	7909.69	7331.22	8195.54	113.053	8327.37	7986.82	1000.0	1000.0	314999	523.213	125.548	641.664	-95.7597	523.213	125.55	641.62	-86.3533	523.074	124.753	641.009	-93.3329	4.66344	3.64849	52.495	-15.4408	-524.05	8.96642	8.67784	8.11829	12124.952943086624
63	7519.53	118.753	7666.62	7354.73	8094.21	44.3766	8149.63	8032.95	1000.0	1000.0	319999	526.617	125.876	646.08	-96.6971	526.617	125.877	646.105	-89.6965	526.476	125.094	645.28	-97.9024	4.71351	3.63649	40.3855	-13.4093	-527.449	8.91502	8.55407	7.94257	12317.178609609604
64	7770.93	46.5312	7820.03	7693.18	8204.32	95.0867	8322.62	8055.81	1000.0	1000.0	324999	530.62	125.272	653.107	-96.036	530.62	125.274	651.188	-91.5999	530.478	124.488	650.201	-95.6018	4.69472	3.63045	41.002	-17.5608	-531.456	8.85929	8.51328	7.95544	12509.14654827118
65	7638.62	90.707	7783.19	7525.13	8058.24	76.3193	8159.42	7948.14	1000.0	1000.0	329999	534.036	125.613	655.839	-97.9391	534.036	125.614	656.266	-90.9592	533.905	124.825	654.089	-96.7693	4.72813	3.64498	41.8618	-15.365	-534.878	8.90874	8.56772	7.93131	12701.284548997879
66	7795.83	144.916	7964.19	7584.92	8076.79	136.79	8180.56	7806.66	1000.0	1000.0	334999	537.827	125.665	659.056	-102.601	537.827	125.667	659.632	-96.7874	537.694	124.88	658.081	-103.582	4.74461	3.6428	45.0254	-14.4725	-538.661	9.06889	8.67432	8.11695	12893.755029439926
67	7820.99	74.9405	7898.57	7692.48	8220.7	80.9345	8324.32	8098.62	1000.0	1000.0	339999	541.273	126.11	663.11	-101.032	541.273	126.111	664.309	-101.249	541.13	125.327	661.93	-108.016	4.78272	3.64804	38.9582	-17.5999	-542.106	9.16049	8.80628	8.2353	13084.472487211227
68	7843.85	157.383	8005.83	7559.48	8002.48	56.5839	8068.1	7912.85	1000.0	1000.0	344999	545.093	125.956	669.695	-103.268	545.093	125.958	673.316	-97.9486	544.956	125.17	667.717	-103.011	4.80058	3.66978	46.9493	-14.0172	-545.935	9.11525	8.76089	8.03522	13275.45764541626
69	7856.0	197.863	8061.78	7488.95	8067.63	56.3934	8154.26	7983.62	1000.0	1000.0	349999	548.428	125.981	673.647	-104.554	548.428	125.982	677.565	-99.4717	548.286	125.186	672.525	-105.287	4.80755	3.65939	42.7043	-19.4783	-549.265	9.34335	8.9027	8.19401	13467.023497343063
70	7826.46	84.0909	7968.56	7730.11	8282.76	62.8328	8344.79	8170.19	1000.0	1000.0	354999	552.127	126.029	680.119	-105.647	552.128	126.03	679.643	-97.5939	552.0	125.239	677.537	-103.052	4.83787	3.65327	48.7648	-13.5066	-552.971	9.33925	8.97583	8.10171	13659.211999416351
71	7873.56	123.827	8028.8	7686.4	8305.2	59.7595	8405.22	8220.1	1000.0	1000.0	359999	555.83	126.414	684.52	-94.5066	555.83	126.415	683.012	-92.2116	555.714	125.629	681.291	-97.7127	4.86367	3.65338	34.9015	-15.0128	-556.686	9.2618	8.91162	8.17913	13851.7654941082
