Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
47	7070.18	131.771	7279.05	6882.75	7641.67	30.2895	7692.82	7597.69	1000.0	1000.0	239999	419.553	121.911	534.159	-6.44235	419.552	121.911	535.165	-5.88182	0.211684	0.00154037	0.215588	0.208271	0.00345811	6.00217	4.29318	42.0018	-15.8224	-418.857	12.0202	12.1587	5952.208035230637
48	7035.51	123.094	7195.0	6819.23	7623.1	101.681	7810.11	7499.27	1000.0	1000.0	244999	424.62	121.79	541.143	-5.32436	424.62	121.79	541.48	6.99598	0.214139	0.0014944	0.218344	0.210806	-6.78806e-05	5.9999	4.27291	37.5131	-13.5739	-423.94	12.1073	12.2668	6075.620167970657
49	7146.23	78.6904	7231.91	6999.62	7732.49	30.9093	7787.43	7708.18	1000.0	1000.0	249999	429.931	121.886	546.625	4.24474	429.93	121.886	547.933	1.31918	0.212337	0.00205862	0.217542	0.208746	0.00621545	6.00398	4.26004	36.7257	-12.1861	-429.251	11.9687	12.1141	6198.772980213165
50	7190.91	291.556	7554.13	6785.76	7900.47	101.041	8012.47	7742.15	1000.0	1000.0	254999	434.909	121.59	552.921	-8.35433	434.909	121.59	553.045	4.46858	0.214742	0.0021897	0.219663	0.210388	-0.00506192	5.99665	4.23643	37.975	-14.9023	-434.215	12.1136	12.3101	6322.024196624756
51	7327.88	137.808	7448.92	7061.83	7783.16	53.4686	7846.44	7704.76	1000.0	1000.0	259999	439.778	122.113	562.132	3.62345	439.778	122.112	561.425	3.53461	0.214995	0.00225388	0.219534	0.210648	0.00602262	6.00385	4.22011	35.2731	-15.2824	-439.105	12.1008	12.2069	6445.309298038483
52	7383.11	135.931	7630.3	7237.38	7700.81	180.249	7965.22	7483.07	1000.0	1000.0	264999	445.009	122.048	564.4	7.51173	445.009	122.048	565.601	7.50984	0.217164	0.00177198	0.220457	0.213334	-0.000703645	5.99948	4.19583	44.8261	-15.7745	-444.331	12.0746	12.2299	6568.506028413773
53	7411.7	172.075	7616.53	7167.17	7856.29	94.5876	7974.29	7739.67	1000.0	1000.0	269999	450.108	122.176	570.735	14.291	450.108	122.177	571.074	9.84389	0.218858	0.00261126	0.225248	0.214727	0.00109271	6.00066	4.16963	38.8493	-14.6455	-449.43	12.1059	12.2809	6691.663644075394
54	7461.43	109.92	7615.32	7284.72	8112.19	73.0191	8204.12	8012.85	1000.0	1000.0	274999	455.289	122.188	575.413	13.4713	455.289	122.187	578.241	17.6637	0.21896	0.00140525	0.222759	0.215775	0.000870104	6.00051	4.15781	36.6811	-13.8479	-454.616	12.0644	12.1962	6814.7742574214935
55	7590.61	63.7819	7688.99	7504.15	7990.72	96.4419	8110.0	7838.07	1000.0	1000.0	279999	460.568	122.842	580.814	2.43373	460.568	122.842	583.06	18.5329	0.218026	0.00196396	0.222177	0.214025	-0.00115806	5.99919	4.14369	36.4803	-13.2038	-459.919	12.1376	12.3584	6937.889731645584
56	7552.75	139.505	7742.37	7397.17	8205.1	55.0171	8280.97	8120.51	1000.0	1000.0	284999	465.836	123.203	587.68	13.8232	465.835	123.203	588.352	15.2724	0.220363	0.00169909	0.224291	0.21669	0.00315743	6.00202	4.13873	41.5873	-12.851	-465.184	12.2535	12.482	7060.980789422989
57	7635.37	121.793	7808.69	7463.99	8134.53	134.105	8297.62	7889.48	1000.0	1000.0	289999	471.309	123.232	597.716	17.4043	471.309	123.232	597.11	20.667	0.21992	0.00169051	0.225171	0.217017	-0.000170181	5.99982	4.12318	38.861	-12.8189	-470.688	12.1496	12.3589	7184.146176576614
58	7631.09	94.6813	7762.1	7478.29	7995.63	204.715	8237.14	7654.72	1000.0	1000.0	294999	476.817	123.784	602.699	18.0807	476.817	123.784	601.729	19.5366	0.221002	0.00283274	0.227277	0.216127	-0.000761106	5.99944	4.11865	36.8607	-13.3313	-476.187	12.6817	12.7792	7307.263863325119
59	7628.9	96.9676	7745.23	7467.48	8250.6	89.0837	8326.47	8084.32	1000.0	1000.0	299999	481.432	124.354	606.814	15.6464	481.432	124.355	606.41	20.1609	0.223172	0.00284791	0.228863	0.217547	0.00610924	6.00398	4.10893	40.053	-12.7339	-480.806	13.2218	13.3692	7430.248314380646
60	7734.45	121.645	7910.33	7587.02	8288.99	155.216	8482.47	8021.28	1000.0	1000.0	304999	486.745	124.313	612.559	15.0902	486.745	124.313	610.395	20.2312	0.221599	0.00171407	0.226127	0.218351	-0.00132136	5.99906	4.07844	36.5414	-12.073	-486.136	12.8143	12.9582	7553.20863866806
61	7807.75	50.1296	7877.0	7750.33	8263.01	99.6954	8409.8	8121.55	1000.0	1000.0	309999	492.062	124.636	617.846	18.0226	492.061	124.636	619.292	15.3116	0.221946	0.00133524	0.224945	0.219279	0.000338822	6.00016	4.08067	43.2691	-12.8771	-491.462	12.8909	13.0674	7676.331829071045
62	7869.05	114.073	8035.95	7757.49	8116.53	108.404	8294.65	7980.37	1000.0	1000.0	314999	497.217	125.143	621.248	22.0147	497.216	125.143	621.267	22.2164	0.223138	0.00190647	0.228912	0.219276	-0.0017009	5.99881	4.06518	40.3144	-19.5931	-496.631	12.6427	12.8227	7799.272698402405
63	7820.82	197.983	8167.12	7590.26	8539.07	73.1323	8639.13	8414.6	1000.0	1000.0	319999	502.517	125.919	629.632	14.5958	502.517	125.92	630.49	19.6074	0.220959	0.00127948	0.224068	0.218286	-0.00116351	5.99918	4.04666	34.9729	-13.5879	-501.952	12.6723	12.8197	7922.246245145798
